,Account,date,daily_pnl,trade_count,avg_trade_size,total_fees,win_rate,long_ratio,classification,value,frequency_segment,consistency_segment,cum_pnl,rolling_max,drawdown
91,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-19,233.36546,213,895.9638028169014,66.816663,0.48826291079812206,0.539906103286385,Extreme Greed,90.0,Frequent,Consistent,701.1657210000001,701.1657210000001,0.0
92,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-20,-316.245208,407,2149.553218673219,298.312315,0.3464373464373464,0.4619164619164619,Extreme Greed,83.0,Frequent,Consistent,384.920513,701.1657210000001,-316.24520800000005
93,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-21,780.001314,446,729.007130044843,111.648962,0.34977578475336324,0.5,Extreme Greed,82.0,Frequent,Consistent,1164.9218270000001,1164.9218270000001,0.0
94,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-22,141.21958999999998,433,422.0099076212471,62.202151,0.3117782909930716,0.48036951501154734,Extreme Greed,94.0,Frequent,Consistent,1306.141417,1306.141417,0.0
95,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-23,673.6312,156,333.45923076923077,17.776025,0.40384615384615385,0.48717948717948717,Extreme Greed,93.0,Frequent,Consistent,1979.772617,1979.772617,0.0
96,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-24,108.321127,69,200.7391304347826,4.469844,0.42028985507246375,0.782608695652174,Extreme Greed,80.0,Frequent,Consistent,2088.0937440000002,2088.0937440000002,0.0
97,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-25,464.281002,225,324.3673333333333,24.451253,0.4222222222222222,0.4711111111111111,Extreme Greed,82.0,Frequent,Consistent,2552.374746,2552.374746,0.0
98,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-26,-508.290641,217,1012.5778341013826,75.523391,0.35023041474654376,0.5852534562211982,Extreme Greed,79.0,Frequent,Consistent,2044.0841050000001,2552.374746,-508.2906409999998
99,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-27,193.66415899999998,169,1110.83224852071,62.761001,0.4378698224852071,0.40828402366863903,Extreme Greed,75.0,Frequent,Consistent,2237.748264,2552.374746,-314.6264820000001
100,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-28,165.532644,207,946.0768115942029,67.285783,0.37681159420289856,0.5603864734299517,Extreme Greed,77.0,Frequent,Consistent,2403.280908,2552.374746,-149.09383799999978
101,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-29,9551.73423,206,388.948786407767,29.21348375,0.44660194174757284,0.4223300970873786,Extreme Greed,78.0,Frequent,Consistent,11955.015138,11955.015138,0.0
102,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-30,5590.528248,154,315.52253246753247,17.77266812,0.461038961038961,0.38961038961038963,Extreme Greed,84.0,Frequent,Consistent,17545.543386,17545.543386,0.0
103,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-01,4458.25495,193,247.12725388601035,16.10546943,0.5025906735751295,0.34196891191709844,Extreme Greed,81.0,Frequent,Consistent,22003.798336,22003.798336,0.0
104,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-02,1283.846047,140,140.36935714285713,6.30947724,0.5214285714285715,0.5,Extreme Greed,80.0,Frequent,Consistent,23287.644383,23287.644383,0.0
105,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-03,1190.358719,78,92.37217948717948,2.982829,0.47435897435897434,0.358974358974359,Extreme Greed,76.0,Frequent,Consistent,24478.003102,24478.003102,0.0
106,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-04,9066.169646,112,165.78285714285715,7.22773423,0.5357142857142857,0.26785714285714285,Extreme Greed,78.0,Frequent,Consistent,33544.172748,33544.172748,0.0
107,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-05,14685.787664,98,259.2459183673469,9.32634692,0.4897959183673469,0.336734693877551,Extreme Greed,84.0,Frequent,Consistent,48229.960412,48229.960412,0.0
108,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-06,389.176232,69,129.80536231884057,2.907485,0.2318840579710145,0.391304347826087,Greed,72.0,Frequent,Consistent,48619.136644,48619.136644,0.0
109,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-07,4008.012049,86,159.67825581395348,3.66824976,0.4186046511627907,0.23255813953488372,Extreme Greed,75.0,Frequent,Consistent,52627.148693,52627.148693,0.0
110,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-08,554.009942,102,77.67176470588235,2.81362784,0.4215686274509804,0.30392156862745096,Extreme Greed,79.0,Frequent,Consistent,53181.158635,53181.158635,0.0
111,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-09,768.430838,213,88.1318309859155,6.79214041,0.5915492957746479,0.7934272300469484,Extreme Greed,78.0,Frequent,Consistent,53949.589473,53949.589473,0.0
